codeName	freq	angles
"4,3,6"	2	3.6157978
"5,12,16"	2	3.6750731
"5,3"	2	5.637652
"5,4"	2	5.6806874
"8,10"	2	5.723723
"8,14,3"	2	3.7343485
"8,17,4"	2	3.793624
"9,19,7"	2	3.8528993
"9,3"	2	5.7667584
"1,10,2"	1	3.9121747
"1,10,4"	1	3.97145
"1,10,4,3"	1	4.3791904
"1,19,3"	1	4.0307255
"1,8,10,4,14"	1	5.3855877
"1,9,2"	1	4.0900006
"10,11,19"	1	4.149276
"10,14"	1	5.809794
"10,15,7"	1	4.208551
"10,18,11"	1	4.267826
"10,18,19,6"	1	4.56959
"10,2,3"	1	4.327101
"10,9,7"	1	4.3863764
"11,3"	1	5.8528295
"12,1,2,3"	1	4.7599897
"12,10,19"	1	4.4456515
"12,11,19"	1	4.5049267
"12,17,9"	1	4.564202
"12,2,11"	1	4.623477
"13,1,4"	1	4.682752
"13,1,4,3"	1	4.9503894
"13,10,14"	1	4.7420273
"13,10,15"	1	4.8013024
"13,10,18"	1	4.8605776
"13,10,3"	1	4.9198527
"13,10,6"	1	4.979128
"13,10,9,11"	1	5.140789
"13,12,10,18,6"	1	5.834387
"13,12,10,19"	1	5.3311887
"13,12,11"	1	5.038403
"13,12,17"	1	5.097678
"13,14"	1	5.895865
"13,17,11"	1	5.1569533
"13,17,6"	1	5.2162285
"13,5,12,10,11,6"	1	6.2831855
"13,5,19"	1	5.2755036
"13,5,8"	1	5.334779
"13,6,16"	1	5.394054
"13,6,7"	1	5.453329
"14,7"	1	5.9389005
"15,19"	1	5.981936
"17,4"	1	6.0249715
"18,11,16"	1	5.512604
"18,2,3"	1	5.5718794
"20,10,6"	1	5.6311545
"20,11"	1	6.068007
"20,15"	1	6.1110425
"20,18"	1	6.154078
"20,19"	1	6.1971135
"3,7"	1	6.240149
"4,6"	1	6.2831845
"5,1,2,3"	1	5.5215883
"5,1,4"	1	5.6904297
"5,10,11"	1	5.749705
"5,10,19"	1	5.80898
"5,12,17,19"	1	5.711988
"5,12,18"	1	5.868255
"5,12,19"	1	5.9275303
"5,12,3"	1	5.9868054
"5,20,6"	1	6.0460806
"5,8,4"	1	6.1053557
"8,10,4,14,3"	1	6.283186
"8,10,4,3"	1	5.9023876
"8,2,14,3"	1	6.0927873
"8,2,6"	1	6.164631
"8,4,16,7"	1	6.283187
"9,11,7"	1	6.223906
"9,6,7"	1	6.283181
